startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,windSpeed,windDirection,shortForecast,detailedForecast,observed_time
2021-10-13 09:00:00+00:00,2021-10-13 10:00:00+00:00,False,54,F,,5 mph,S,Patchy Fog,,2021-10-13 09:42:22.306617+00:00
2021-10-13 10:00:00+00:00,2021-10-13 11:00:00+00:00,False,53,F,,5 mph,SSE,Patchy Fog,,2021-10-13 09:42:22.306617+00:00
2021-10-13 11:00:00+00:00,2021-10-13 12:00:00+00:00,True,53,F,,5 mph,SSE,Patchy Fog,,2021-10-13 09:42:22.306617+00:00
2021-10-13 12:00:00+00:00,2021-10-13 13:00:00+00:00,True,52,F,,5 mph,SE,Patchy Fog,,2021-10-13 09:42:22.306617+00:00
2021-10-13 13:00:00+00:00,2021-10-13 14:00:00+00:00,True,55,F,,5 mph,SSE,Patchy Fog,,2021-10-13 09:42:22.306617+00:00
2021-10-13 14:00:00+00:00,2021-10-13 15:00:00+00:00,True,60,F,,5 mph,SSE,Patchy Fog,,2021-10-13 09:42:22.306617+00:00
2021-10-13 15:00:00+00:00,2021-10-13 16:00:00+00:00,True,66,F,,10 mph,SSE,Partly Sunny,,2021-10-13 09:42:22.306617+00:00
2021-10-13 16:00:00+00:00,2021-10-13 17:00:00+00:00,True,71,F,,10 mph,SSE,Partly Sunny,,2021-10-13 09:42:22.306617+00:00
2021-10-13 17:00:00+00:00,2021-10-13 18:00:00+00:00,True,73,F,,10 mph,SSE,Chance Rain Showers,,2021-10-13 09:42:22.306617+00:00
2021-10-13 18:00:00+00:00,2021-10-13 19:00:00+00:00,True,73,F,,10 mph,SSE,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-13 19:00:00+00:00,2021-10-13 20:00:00+00:00,True,73,F,,10 mph,SSE,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-13 20:00:00+00:00,2021-10-13 21:00:00+00:00,True,73,F,,15 mph,SSE,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-13 21:00:00+00:00,2021-10-13 22:00:00+00:00,True,73,F,,15 mph,SSE,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-13 22:00:00+00:00,2021-10-13 23:00:00+00:00,True,73,F,,15 mph,SSE,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-13 23:00:00+00:00,2021-10-14 00:00:00+00:00,False,71,F,,15 mph,SSE,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 00:00:00+00:00,2021-10-14 01:00:00+00:00,False,71,F,,15 mph,SSE,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 01:00:00+00:00,2021-10-14 02:00:00+00:00,False,70,F,,15 mph,SSE,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 02:00:00+00:00,2021-10-14 03:00:00+00:00,False,71,F,,15 mph,S,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 03:00:00+00:00,2021-10-14 04:00:00+00:00,False,71,F,,15 mph,S,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 04:00:00+00:00,2021-10-14 05:00:00+00:00,False,71,F,,15 mph,S,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 05:00:00+00:00,2021-10-14 06:00:00+00:00,False,71,F,,10 mph,S,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 06:00:00+00:00,2021-10-14 07:00:00+00:00,False,71,F,,10 mph,S,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 07:00:00+00:00,2021-10-14 08:00:00+00:00,False,71,F,,10 mph,S,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 08:00:00+00:00,2021-10-14 09:00:00+00:00,False,70,F,,10 mph,SSW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 09:00:00+00:00,2021-10-14 10:00:00+00:00,False,69,F,,10 mph,SSW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 10:00:00+00:00,2021-10-14 11:00:00+00:00,False,67,F,,10 mph,SSW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 11:00:00+00:00,2021-10-14 12:00:00+00:00,True,66,F,,10 mph,WSW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 12:00:00+00:00,2021-10-14 13:00:00+00:00,True,65,F,,10 mph,WSW,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 13:00:00+00:00,2021-10-14 14:00:00+00:00,True,63,F,,5 mph,WSW,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 14:00:00+00:00,2021-10-14 15:00:00+00:00,True,65,F,,5 mph,W,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 15:00:00+00:00,2021-10-14 16:00:00+00:00,True,67,F,,5 mph,W,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 16:00:00+00:00,2021-10-14 17:00:00+00:00,True,68,F,,5 mph,W,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 17:00:00+00:00,2021-10-14 18:00:00+00:00,True,70,F,,10 mph,W,Chance Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-14 18:00:00+00:00,2021-10-14 19:00:00+00:00,True,72,F,,10 mph,W,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 19:00:00+00:00,2021-10-14 20:00:00+00:00,True,72,F,,5 mph,W,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 20:00:00+00:00,2021-10-14 21:00:00+00:00,True,72,F,,5 mph,W,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 21:00:00+00:00,2021-10-14 22:00:00+00:00,True,70,F,,5 mph,W,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 22:00:00+00:00,2021-10-14 23:00:00+00:00,True,68,F,,5 mph,WNW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-14 23:00:00+00:00,2021-10-15 00:00:00+00:00,False,65,F,,0 mph,NNW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 00:00:00+00:00,2021-10-15 01:00:00+00:00,False,62,F,,0 mph,N,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 01:00:00+00:00,2021-10-15 02:00:00+00:00,False,61,F,,0 mph,N,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 02:00:00+00:00,2021-10-15 03:00:00+00:00,False,60,F,,0 mph,ENE,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 03:00:00+00:00,2021-10-15 04:00:00+00:00,False,60,F,,0 mph,E,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 04:00:00+00:00,2021-10-15 05:00:00+00:00,False,59,F,,0 mph,E,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 05:00:00+00:00,2021-10-15 06:00:00+00:00,False,59,F,,0 mph,E,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 06:00:00+00:00,2021-10-15 07:00:00+00:00,False,59,F,,0 mph,ESE,Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-15 07:00:00+00:00,2021-10-15 08:00:00+00:00,False,59,F,,0 mph,ESE,Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-15 08:00:00+00:00,2021-10-15 09:00:00+00:00,False,59,F,,0 mph,ESE,Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-15 09:00:00+00:00,2021-10-15 10:00:00+00:00,False,59,F,,0 mph,ESE,Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-15 10:00:00+00:00,2021-10-15 11:00:00+00:00,False,58,F,,0 mph,E,Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-15 11:00:00+00:00,2021-10-15 12:00:00+00:00,True,58,F,,0 mph,ENE,Showers And Thunderstorms,,2021-10-13 09:42:22.306617+00:00
2021-10-15 12:00:00+00:00,2021-10-15 13:00:00+00:00,True,56,F,,5 mph,NE,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 13:00:00+00:00,2021-10-15 14:00:00+00:00,True,58,F,,5 mph,NNE,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 14:00:00+00:00,2021-10-15 15:00:00+00:00,True,61,F,,5 mph,N,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 15:00:00+00:00,2021-10-15 16:00:00+00:00,True,64,F,,5 mph,N,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 16:00:00+00:00,2021-10-15 17:00:00+00:00,True,66,F,,10 mph,N,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 17:00:00+00:00,2021-10-15 18:00:00+00:00,True,66,F,,10 mph,NW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 18:00:00+00:00,2021-10-15 19:00:00+00:00,True,67,F,,10 mph,NW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 19:00:00+00:00,2021-10-15 20:00:00+00:00,True,68,F,,10 mph,NW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 20:00:00+00:00,2021-10-15 21:00:00+00:00,True,68,F,,10 mph,NW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 21:00:00+00:00,2021-10-15 22:00:00+00:00,True,67,F,,10 mph,NW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 22:00:00+00:00,2021-10-15 23:00:00+00:00,True,65,F,,10 mph,NW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-15 23:00:00+00:00,2021-10-16 00:00:00+00:00,False,62,F,,10 mph,NW,Showers And Thunderstorms Likely,,2021-10-13 09:42:22.306617+00:00
2021-10-16 00:00:00+00:00,2021-10-16 01:00:00+00:00,False,59,F,,10 mph,NW,Slight Chance Rain Showers,,2021-10-13 09:42:22.306617+00:00
2021-10-16 01:00:00+00:00,2021-10-16 02:00:00+00:00,False,56,F,,10 mph,NW,Slight Chance Rain Showers,,2021-10-13 09:42:22.306617+00:00
